Site,Tx or Ctrl,Cohort #,Rural/Urban,Doctors Available,Nurses Available,Patients annually
1,0,1,1,5,166,74460
2,0,1,0,1,8,14052
3,0,1,0,0,67,28296
4,0,1,0,5,155,48180
5,0,2,1,0,15,15612
6,0,2,1,6,120,63000
7,0,2,1,0,7,11952
8,0,2,1,3,115,54852
9,0,3,1,0,25,14040
10,0,3,0,4,165,115620
11,0,3,1,0,22,12060
12,0,3,0,2,64,30720
13,0,4,0,0,38,58475
14,0,4,1,0,25,210456
15,0,4,1,4,140,225070
16,0,4,0,4,125,60168
17,1,1,1,0,25,21076
18,1,1,1,1,38,19000
19,1,1,1,4,108,35600
20,1,1,1,2,55,24560
21,1,2,0,0,18,19200
22,1,2,0,0,35,17276
23,1,2,0,7,155,47500
24,1,2,0,4,113,38800
25,1,3,0,2,180,62725
26,1,3,0,1,78,37000
27,1,3,0,0,28,36230
28,1,3,0,0,20,9240
29,1,4,1,2,96,57600
30,1,4,0,3,140,68800
31,1,4,0,0,60,40100
32,1,4,0,0,15,9208
